Repository,CVE ID,Package,Installed Version,Fixed Version,Severity,Type
aimlfw-dep,GHSA-gw97-ff7c-9v96,tensorflow,2.5.0,,Critical,python
aimlfw-dep,GHSA-xvwp-h6jv-7472,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-6gmv-pjp9-p8w8,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-r6jx-9g48-2r5r,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-98p5-x8x4-c9m5,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-9p77-mmrw-69c7,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-rww7-2gpw-fv6j,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-5qw5-89mw-wcg2,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-rrx2-r989-2c43,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-44qp-9wwf-734r,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-fq6p-6334-8gr4,tensorflow,2.5.0,,Medium,python
aimlfw-dep,GHSA-9gwq-6cwj-47h3,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-fq86-3f29-px2c,tensorflow,2.5.0,,Medium,python
aimlfw-dep,GHSA-79h2-q768-fpxr,tensorflow,2.5.0,,Medium,python
aimlfw-dep,GHSA-qx3f-p745-w4hr,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-9px9-73fg-3fqp,tensorflow,2.5.0,,Medium,python
aimlfw-dep,GHSA-247x-2f9f-5wp7,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-c6fh-56w7-fvjw,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-4hvf-hxvg-f67v,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-77gp-3h4r-6428,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-8jj7-5vxc-pg2q,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-23hm-7w47-xw72,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-vjg4-v33c-ggc4,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-q85f-69q7-55h2,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-6445-fm66-fvq2,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-m4hf-j54p-p353,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-24x4-6qmh-88qg,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-pfjj-m3jj-9jc9,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-7j3m-8g3c-9qqq,tensorflow,2.5.0,,Medium,python
aimlfw-dep,GHSA-j5w9-hmfh-4cr6,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-h5vq-gw2c-pq47,tensorflow,2.5.0,,Medium,python
aimlfw-dep,GHSA-43jf-985q-588j,tensorflow,2.5.0,,Medium,python
aimlfw-dep,GHSA-fx5c-h9f6-rv7c,tensorflow,2.5.0,,Medium,python
aimlfw-dep,GHSA-627q-g293-49q7,tensorflow,2.5.0,,Medium,python
aimlfw-dep,GHSA-rjx6-v474-2ch9,tensorflow,2.5.0,,Medium,python
aimlfw-dep,GHSA-cg88-rpvp-cjv5,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-828c-5j5q-vrjq,tensorflow,2.5.0,,Medium,python
aimlfw-dep,GHSA-wr9v-g9vf-c74v,tensorflow,2.5.0,,Medium,python
aimlfw-dep,GHSA-gf97-q72m-7579,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-428x-9xc2-m8mj,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-3mw4-6rj6-74g5,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-8cxv-76p7-jxwr,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-34f9-hjfq-rr8j,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-87v6-crgm-2gfj,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-c94w-c95p-phf8,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-f2vv-v9cg-qhh7,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-gcvh-66ff-4mwm,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-gf2j-f278-xh4v,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-wm93-f238-7v37,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-x4qx-4fjv-hmw6,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-h6q3-vv32-2cq5,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-v5xg-3q2c-c2r4,tensorflow,2.5.0,,Medium,python
aimlfw-dep,GHSA-ffjm-4qwc-7cmf,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-9vqj-64pv-w55c,tensorflow,2.5.0,,Medium,python
aimlfw-dep,GHSA-jvhc-5hhr-w3v5,tensorflow,2.5.0,,Medium,python
aimlfw-dep,GHSA-9c78-vcq7-7vxq,tensorflow,2.5.0,,High,python
aimlfw-dep,GHSA-mv8m-8x97-937q,tensorflow,2.5.0,,Medium,python
